1
3
1,7
1,16
1,21
1,3
1,12
3,8
1,7,2
1,7,16
1,7,17
1,7,3
1,7,8
1,16,3
1,16,12
1,21,3
1,21,8
1,3,8
1,3,12
3,8,12
1,7,2,16
1,7,2,3
1,7,16,21
1,7,16,17
1,7,16,3
1,7,16,8
1,7,16,12
1,7,17,3
1,7,17,8
1,7,3,8
1,7,3,12
1,16,3,8
1,16,3,12
1,21,3,8
1,21,3,12
1,3,8,12
21,17,3,8,12
16,21,17,8,12
2,17,3,8,12
2,21,3,8,12
2,21,17,8,12
2,21,17,3,12
2,21,17,3,8
2,16,21,8,12
2,16,21,3,12
2,16,21,17,12
2,16,21,17,8
7,2,21,17,12
7,2,21,17,8
7,2,16,17,12
7,2,16,17,8
7,2,16,21,17
16,21,17,3,8,12
2,21,17,3,8,12
2,16,21,3,8,12
2,16,21,17,8,12
2,16,21,17,3,12
7,2,21,17,8,12
7,2,21,17,3,8
7,2,16,17,8,12
7,2,16,17,3,12
7,2,16,21,17,12
7,2,16,21,17,8
1,7,2,16,21,17
2,16,21,17,3,8,12
7,2,21,17,3,8,12
7,2,16,17,3,8,12
7,2,16,21,17,8,12
7,2,16,21,17,3,8
1,7,2,16,21,17,12
7,2,16,21,17,3,8,12
1,7,2,16,21,17,8,12
1,7,2,16,21,17,3,8,12
